Timestamp,Your Gender,Your Sexual Orientation,Your age,What country are You from?,How often do You play computer games,And for how long do Your gaming sessions usually last,Your favourite video game genre,Your favourite game(May write several),What other interests do You hold(You can choose multiple and write any others in Other),Your overall view on seeing sexual themes in the game(What is you reaction on seeing sexual themes in a game),Your view on sexualisation of the character design(Your reaction on seeing (overly)sexual character design),Any specific things that you usually LIKE in character designs,Any specific things that you usually DISLIKE in character designs,Your view on sexual sub-context in video games- themes around sex and similar,"If you dislike the (over)use of sexual sub-content, would you be okay if it's explained logically, tied to the story(And-Or if it exists for more reasons than just for marketing and-or similar)",Are you okay with LGBT+ characters in video games,Anything to add to the theme? Your personal thoughts. 
04/01/2021 18:22:52,Prefer not to say,confused,27-35,Latvia,Every day,5-8 hours,Multiplayer RPGs,"WoW, Lol, Tekken","Books(Non asian), Tabletop games(just the basic ones), Tabletop RPGs(D&D and similar), Films and TV series, Anime, Manga, Japanese(Or similar) Light Novels",Sometimes positive,4,,Oversized breasts,3,Yes,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)",
04/01/2021 18:43:27,Male,Heterosexual,21-26,Russia,Several times a week,0-4 hours,Immersive Sims,"Deus Ex: Human Revolution, Prey (2017), Mass Effect 1-3","Books(Non asian), Films and TV series",Sometimes positive,4,When it makes sense in a given setting,When there is no sense or the explanation is weird (e.g. Quiet from MGS V is awfully bad designed),4,Yes,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)","There are moments when erotic scenes are just needed to kinda deepen the setting of a video game, e.g. VtMB (when you need to neutralize a vampire/demon/whatever hunter working under disguise in a peep show, it ads flavour), Halo (Cortana image is designed to be ""the best woman inside a soldier's head""). Sometimes character over-sexualization can be justified as a game selling point (a lot of fighting video game franchises from Dead or Alive to Mortal Kombat), or as means of making sense (The Witcher series with its rather... independent female magicians, or Morrigan from Dragon Age, whose image was specifically designed around the idea of breaking rules of a more civilized society). But straight fanservice is just bad (e.g. Quiet from MGS V is running like naked in a somewhat realistic setting in the middle of ground operations, Miranda Lawson from Mass Effect has a camel toe and just ""hoes around like this"" while being a high ranking officer in a conspiracy military-like organization)."
04/01/2021 18:43:43,Male,Heterosexual,21-26,Russia,Several times a week,0-4 hours,Singleplayer RPGs,Red Dead Redemption 2,"Books(Non asian), Films and TV series, Manga",Mostly positive,7,,,5,Yes,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)",
04/01/2021 18:52:43,Male,Heterosexual,27-35,Russian Federation,Every day,5-8 hours,Don't have favorite,"Ace Combat 7, SpecOps The Line, Deus Ex Human Revolution","Books(Non asian), Tabletop RPGs(D&D and similar), Films and TV series, Anime",Neutral,4,marks of their mind characteristics,"Extreme sexualisation, too bright colors, hyperbolisation",4,Yes,Maybe/Neutral,
04/01/2021 19:04:46,Male,Heterosexual,21-26,Latvia,Ranges from every day to several times a week.,5-8 hours,Action,Devil May Cry; Dark Souls; Tekken; Escape From Tarkov:,"Tabletop games(just the basic ones), Films and TV series, Anime, Philosophy, VFX, music or any other form of Arts in general.",Sometimes positive,4,When the design of the character serves to tell a story and is so well done that it can portray the characters personality at one glance.,"Dislike when the creative process of designing a character is hindered by either Over-sexualizing certain aspects of the character or if it goes the other way around, where certain restrictions are made just to pander to a certain demography of the target audience, in the expense of the other larger less vocal audience.",4,Yes,"If that type of content feels forced on then no. If not, then neutral.","As the LGBT+ community has gained more traction and has become more vocal over the years, many companies, especially the big AAA studios, in the gaming industry are trying to conform to the LGBT community views. I see it mostly as a negative, as it is mostly done in expense of the rest of the audience and as games are a form of art, it is relatively easily seen when works of art don't come from a genuine place."
04/01/2021 19:20:12,Female,Heterosexual,16-20,England,Every day,9-12 hours,Singleplayer RPGs,pokemon,"Tabletop RPGs(D&D and similar), Anime",Neutral,4,,,4,,"Yes, in any way they appear there",
04/01/2021 19:27:57,Female,Homosexual,27-35,USA,Every day,0-4 hours,Action,"PSO2, Bayonetta, Crash Bandicoot 2, Sonic 3 & Knuckles","Books(Non asian), Tabletop games(just the basic ones), Tabletop RPGs(D&D and similar), Anime",Sometimes positive,4,Cute,Overly skimpy outfits without a reason for them,5,Yes,I prefer LGBT+ characters,I just want to see more lesbian options that aren't catered to men.
04/01/2021 19:29:20,Female,Homosexual,21-26,USA,Once- or twice a week,0-4 hours,Singleplayer RPGs,Kingdom Hearts Series,"Films and TV series, My business",Sometimes negative,4,The girls are really really pretty!,"Unrealistic protection of female characters (like my arms, legs, and stomach need protecting)",6,Yes,"Yes, in any way they appear there",I still think girl characters need more armor protection.  They can be sexy and still have armor protection
04/01/2021 19:29:30,Male,Heterosexual,16-20,England ,Every day,5-8 hours,Singleplayer RPGs,Deus Ex; Pillars of Eternity; Stellaris,"Books(Non asian), Tabletop RPGs(D&D and similar), Anime",Neutral,4,Visual and narrative design in line with the setting;,Inconsistent writing; over the top designs,3,Yes,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)",
04/01/2021 19:32:00,Male,Heterosexual,27-35,Canada,Every day,5-8 hours,Strategy/Multiplayer RPGs,World of Warcraft,Films and TV series,Sometimes positive,5,,,5,,"Yes, in any way they appear there",
